record_id,lead,n_samples,sampling_rate,lowcut_hz,highcut_hz,signal_power,noise_power,nsr,nsr_db,snr_db
202,MLII,650000,360,0.5,40.0,0.07446113753969336,0.04192077902210266,0.5629886999746109,-2.4950032200109136,2.4950032200109136
203,MLII,650000,360,0.5,40.0,0.17698348615766338,0.09332862828831148,0.5273295848922929,-2.779178626623894,2.779178626623894
205,MLII,650000,360,0.5,40.0,0.034058889889002616,0.09754030313252689,2.8638720595535907,4.569536124238777,-4.569536124238777
207,MLII,650000,360,0.5,40.0,0.09243800899003567,0.05992692425976513,0.6482931092363201,-1.8822859452627505,1.8822859452627505
208,MLII,650000,360,0.5,40.0,0.18349333366698795,0.07132770383978247,0.38872095467637663,-4.103620473413939,4.103620473413939
209,MLII,650000,360,0.5,40.0,0.055457382530119975,0.041681426707031455,0.7515938330553821,-1.240167920108488,1.240167920108488
210,MLII,650000,360,0.5,40.0,0.05654370872058519,0.03553742239953661,0.6284947203436433,-2.016983662441378,2.016983662441378
212,MLII,650000,360,0.5,40.0,0.08494232803365667,0.046354922577590454,0.545722299478574,-2.630282995746973,2.630282995746973
213,MLII,650000,360,0.5,40.0,0.3979733738764425,0.09670370299701463,0.24299038414323143,-6.144109123941278,6.144109123941278
214,MLII,650000,360,0.5,40.0,0.212541172964866,0.03361389656353756,0.15815239981334858,-8.009242136895327,8.009242136895327
215,MLII,650000,360,0.5,40.0,0.07425873038007029,0.027722161975436293,0.3733185557246805,-4.279204230162179,4.279204230162179
217,MLII,650000,360,0.5,40.0,0.3398619555960354,0.0625747402042733,0.18411810787863087,-7.349034968569904,7.349034968569904
219,MLII,650000,360,0.5,40.0,0.1902189654661463,0.4560701438573261,2.39760605752266,3.79777827178722,-3.79777827178722
220,MLII,650000,360,0.5,40.0,0.09511048308656848,0.2961815201206991,3.114078601105601,4.933295702088594,-4.933295702088594
221,MLII,650000,360,0.5,40.0,0.08334023459554431,0.0329333312538388,0.3951672492124175,-4.032190561788374,4.032190561788374
222,MLII,650000,360,0.5,40.0,0.016788805016861887,0.03941961117763268,2.3479700394424423,3.7069255092828657,-3.7069255092828657
223,MLII,650000,360,0.5,40.0,0.1508701964305399,0.2753689278610815,1.82520427742573,2.6131147788509317,-2.6131147788509317
228,MLII,650000,360,0.5,40.0,0.07872982505640187,0.05552464502074384,0.7052555366529281,-1.5165349570307982,1.5165349570307982
230,MLII,650000,360,0.5,40.0,0.11106354164688131,0.04241317098473121,0.3818820321756071,-4.1807077501384855,4.1807077501384855
231,MLII,650000,360,0.5,40.0,0.06427784744421355,0.03289454212094774,0.5117555025391408,-2.909374789838978,2.909374789838978
232,MLII,650000,360,0.5,40.0,0.018600855688798597,0.0312072638228191,1.6777326992334045,2.247227690700879,-2.247227690700879
233,MLII,650000,360,0.5,40.0,0.2610388340411255,0.05660847317763656,0.21685843558709025,-6.638236795439484,6.638236795439484
234,MLII,650000,360,0.5,40.0,0.08161407447109198,0.05737672071504713,0.703024828583582,-1.5302933682024455,1.5302933682024455
